n,"a, steps","a, time","b, steps","b, time","c, steps","c, time","d, steps","d, time","e, steps","e, time","f, steps","f, time",n,n^2,n^3,n^2/2,n^4,n^5/10
0,0,30.99441528,0,30.99441528,0,21.45767212,0,19.07348633,0,19.07348633,0,9.536743164,0,0,0,0,0,0
1,1,28.61022949,1,21.45767212,1,30.99441528,0,19.07348633,0,30.99441528,0,19.07348633,1,1,1,0.5,1,0.1
2,2,21.45767212,4,30.99441528,8,40.53115845,1,21.45767212,0,30.99441528,0,21.45767212,2,4,8,4,16,3.2
3,3,19.07348633,9,38.14697266,27,61.98883057,3,30.99441528,6,57.22045898,2,47.68371582,3,9,27,13.5,81,24.3
4,4,11.92092896,16,42.91534424,64,78.6781311,6,30.99441528,42,121.5934753,11,71.52557373,4,16,64,32,256,102.4
5,5,16.68930054,25,38.14697266,125,112.0567322,10,38.14697266,162,259.8762512,35,121.5934753,5,25,125,62.5,625,312.5
6,6,21.45767212,36,61.98883057,216,169.2771912,15,50.06790161,462,550.7469177,85,178.8139343,6,36,216,108,1296,777.6
7,7,21.45767212,49,71.52557373,343,798.70224,21,181.1981201,1092,2088.546753,175,400.5432129,7,49,343,171.5,2401,1680.7
8,8,26.2260437,64,109.6725464,512,498.2948303,28,90.59906006,2268,2832.41272,322,557.8994751,8,64,512,256,4096,3276.8
9,9,30.99441528,81,209.8083496,729,1289.844513,36,181.1981201,4284,5707.740784,546,1680.850983,9,81,729,364.5,6561,5904.9
10,10,81.06231689,100,269.4129944,1000,998.9738464,45,109.6725464,7524,9593.963623,870,1168.251038,10,100,1000,500,10000,10000
11,11,38.14697266,121,150.2037048,1331,1139.640808,55,112.0567322,12474,12040.13824,1320,1778.6026,11,121,1331,665.5,14641,16105.1
12,12,73.90975952,144,300.4074097,1728,2601.146698,66,228.8818359,19734,17619.133,1925,2319.812775,12,144,1728,864,20736,24883.2
13,13,40.53115845,169,178.8139343,2197,1847.743988,78,271.7971802,30030,27799.60632,2717,3831.386566,13,169,2197,1098.5,28561,37129.3
14,14,159.740448,196,381.4697266,2744,7219.314575,91,162.1246338,44226,38912.2963,3731,4220.00885,14,196,2744,1372,38416,53782.4
15,15,81.06231689,225,329.0176392,3375,3969.669342,105,267.0288086,63336,50003.52859,5005,4777.908325,15,225,3375,1687.5,50625,75937.5
16,16,100.1358032,256,379.0855408,4096,4401.20697,120,288.4864807,88536,71690.08255,6580,6318.092346,16,256,4096,2048,65536,104857.6
17,17,40.53115845,289,228.8818359,4913,3399.848938,136,169.2771912,121176,85952.28195,8500,7059.574127,17,289,4913,2456.5,83521,141985.7
18,18,47.68371582,324,269.4129944,5832,4718.30368,153,197.8874207,162792,136830.8067,10812,9248.256683,18,324,5832,2916,104976,188956.8
19,19,38.14697266,361,293.2548523,6859,4870.891571,171,278.9497375,215118,178501.606,13566,13370.51392,19,361,6859,3429.5,130321,247609.9
20,20,100.1358032,400,507.8315735,8000,8058.547974,190,379.0855408,280098,218310.3561,16815,21309.8526,20,400,8000,4000,160000,320000
21,21,81.06231689,441,641.3459778,9261,7960.796356,210,309.9441528,359898,272328.8536,20615,22099.0181,21,441,9261,4630.5,194481,408410.1
22,22,102.519989,484,588.8938904,10648,10511.87515,231,369.5487976,456918,380008.2207,25025,19679.06952,22,484,10648,5324,234256,515363.2
23,23,78.6781311,529,669.9562073,12167,15778.54156,253,259.8762512,573804,399930.4771,30107,20987.98752,23,529,12167,6083.5,279841,643634.3
24,24,38.14697266,576,450.6111145,13824,10828.97186,276,350.4753113,713460,535602.5696,35926,32439.23187,24,576,13824,6912,331776,796262.4
25,25,61.98883057,625,789.1654968,15625,12867.45071,300,529.2892456,879060,624160.7666,42550,29292.10663,25,625,15625,7812.5,390625,976562.5
26,26,47.68371582,676,689.0296936,17576,15628.33786,325,529.2892456,1074060,705101.49,50050,37109.85184,26,676,17576,8788,456976,1188137.6
27,27,69.14138794,729,1070.49942,19683,17070.77026,351,572.2045898,1302210,927009.5825,58500,41720.86716,27,729,19683,9841.5,531441,1434890.7
28,28,38.14697266,784,600.8148193,21952,19967.556,378,588.8938904,1567566,1205492.02,67977,61700.34409,28,784,21952,10976,614656,1721036.8
29,29,40.53115845,841,760.5552673,24389,21238.32703,406,722.4082947,1874502,1315407.753,78561,53410.53009,29,841,24389,12194.5,707281,2051114.9
30,30,40.53115845,900,689.0296936,27000,31499.86267,435,548.3627319,2227722,1607029.438,90335,66831.11191,30,900,27000,13500,810000,2430000
31,31,52.4520874,961,751.0185242,29791,30260.08606,465,848.7701416,2632272,1917009.354,103385,135180.9502,31,961,29791,14895.5,923521,2862915.1
32,32,59.60464478,1024,779.6287537,32768,36118.03055,496,557.8994751,3093552,2533769.608,117800,101258.7547,32,1024,32768,16384,1048576,3355443.2
33,33,50.06790161,1089,839.2333984,35937,35929.67987,528,498.2948303,3617328,2599411.011,133672,102200.5081,33,1089,35937,17968.5,1185921,3913539.3
